Symbol,Type,Sector,Mcap
519359,Poona Dal & Oil,Agricultural Food & other Products Companies,
NKIND,N K Industries,Agricultural Food & other Products Companies,
SIMBHALS,Simbhaoli Sugar,Agricultural Food & other Products Companies,
543540,Pearl Green Club,Agricultural Food & other Products Companies,
541005,Kanco Tea,Agricultural Food & other Products Companies,
544539,Solvex Edibles,Agricultural Food & other Products Companies,
507300,The Ravalgaon,Agricultural Food & other Products Companies,
526945,Tyroon Tea Co.,Agricultural Food & other Products Companies,
530291,Paos Industries,Agricultural Food & other Products Companies,
531246,Prima Industries,Agricultural Food & other Products Companies,
544000,City Crops Agro,Agricultural Food & other Products Companies,
SRPL,Shree Ram Prote.,Agricultural Food & other Products Companies,
530953,Sunil Agro Foods,Agricultural Food & other Products Companies,
543310,Times Green Ener,Agricultural Food & other Products Companies,
519463,IB Infotech,Agricultural Food & other Products Companies,
519574,Hindustan Agrig.,Agricultural Food & other Products Companies,
VIKASWSP,Vikas Wsp,Agricultural Food & other Products Companies,
544175,TGIF Agribusines,Agricultural Food & other Products Companies,
543769,Indong Tea Co,Agricultural Food & other Products Companies,
544312,Hamps Bio,Agricultural Food & other Products Companies,
544269,Neopolitan Pizza,Agricultural Food & other Products Companies,
531156,Alfavision Overs,Agricultural Food & other Products Companies,
515059,Madhusudan Inds.,Agricultural Food & other Products Companies,
544368,Swasth Foodtech,Agricultural Food & other Products Companies,
VIKASPROP,Vikas Proppant,Agricultural Food & other Products Companies,
513713,White Organic,Agricultural Food & other Products Companies,
530119,Natraj Proteins,Agricultural Food & other Products Companies,
539291,Vasudhagama Ent.,Agricultural Food & other Products Companies,
542938,Octavius Plant.,Agricultural Food & other Products Companies,
519285,Tarai Foods,Agricultural Food & other Products Companies,
519606,Integ. Proteins,Agricultural Food & other Products Companies,
519242,Sarda Proteins,Agricultural Food & other Products Companies,
526473,Elegant Floricul,Agricultural Food & other Products Companies,
530295,Sh. Rajiv. Oil,Agricultural Food & other Products Companies,
SUULD,Suumaya Indust.,Agricultural Food & other Products Companies,
519064,Khandelwal Extra,Agricultural Food & other Products Companies,
519262,Prima Agro,Agricultural Food & other Products Companies,
SHANTI,Shanti Overseas,Agricultural Food & other Products Companies,
519439,Pion. Agro Extr.,Agricultural Food & other Products Companies,
537709,Shree Hanuman Sg,Agricultural Food & other Products Companies,
519479,Omega Ag Seeds,Agricultural Food & other Products Companies,
519353,Bansisons Tea,Agricultural Food & other Products Companies,
507609,Olympic Oil Ind.,Agricultural Food & other Products Companies,
519191,Retro Green,Agricultural Food & other Products Companies,
526568,Longview Tea,Agricultural Food & other Products Companies,
531834,Natura Hue Chem,Agricultural Food & other Products Companies,
526983,Ashoka Refinerie,Agricultural Food & other Products Companies,
519174,Ashiana Agro Ind,Agricultural Food & other Products Companies,
519279,Madhur Inds,Agricultural Food & other Products Companies,
MARUTI,Maruti Suzuki,Automobiles Companies,
M&M,M & M,Automobiles Companies,
BAJAJ-AUTO,Bajaj Auto,Automobiles Companies,
EICHERMOT,Eicher Motors,Automobiles Companies,
HYUNDAI,Hyundai Motor I,Automobiles Companies,
TVSMOTOR,TVS Motor Co.,Automobiles Companies,
TMPV,Tata Motors PVeh,Automobiles Companies,
HEROMOTOCO,Hero Motocorp,Automobiles Companies,
ATHERENERG,Ather Energy,Automobiles Companies,
FORCEMOT,Force Motors,Automobiles Companies,
OLAELEC,Ola Electric,Automobiles Companies,
OLECTRA,Olectra Greentec,Automobiles Companies,
LANDMARK,Landmark Cars,Automobiles Companies,
544563,Zelio E-Mobility,Automobiles Companies,
PVSL,Popular Vehicles,Automobiles Companies,
531035,Eraaya Lifespace,Automobiles Companies,
531357,Mercury EV-Tech,Automobiles Companies,
HINDMOTORS,Hindustan Motors,Automobiles Companies,
538970,Wardwizard Inno.,Automobiles Companies,
TUNWAL,Tunwal E-Motors,Automobiles Companies,
531041,Competent Auto,Automobiles Companies,
544428,Supertech EV,Automobiles Companies,
DELTIC,Delta Auto.,Automobiles Companies,
BIKEWO,Bikewo Green,Automobiles Companies,
544236,Resourceful Auto,Automobiles Companies,
539402,Naksh Precious,Automobiles Companies,
MOTHERSON,Samvardh. Mothe.,Auto Components Companies,
BOSCHLTD,Bosch,Auto Components Companies,
UNOMINDA,Uno Minda,Auto Components Companies,
BHARATFORG,Bharat Forge,Auto Components Companies,
MRF,MRF,Auto Components Companies,
SCHAEFFLER,Schaeffler India,Auto Components Companies,
TIINDIA,Tube Investments,Auto Components Companies,
BALKRISIND,Balkrishna Inds,Auto Components Companies,
ENDURANCE,Endurance Tech.,Auto Components Companies,
APOLLOTYRE,Apollo Tyres,Auto Components Companies,
EXIDEIND,Exide Inds.,Auto Components Companies,
SONACOMS,Sona BLW Precis.,Auto Components Companies,
MSUMI,Motherson Wiring,Auto Components Companies,
ZFCVINDIA,ZF Commercial,Auto Components Companies,
ASAHIINDIA,Asahi India Glas,Auto Components Companies,
SUNDRMFAST,Sundram Fasten.,Auto Components Companies,
TENNIND,Tenneco Clean,Auto Components Companies,
ARE&M,Amara Raja Ener.,Auto Components Companies,
CRAFTSMAN,Craftsman Auto,Auto Components Companies,
CEATLTD,CEAT,Auto Components Companies,
CIEINDIA,CIE Automotive,Auto Components Companies,
BELRISE,Belrise Industri,Auto Components Companies,
MINDACORP,Minda Corp,Auto Components Companies,
JBMA,JBM Auto,Auto Components Companies,
GABRIEL,Gabriel India,Auto Components Companies,
JKTYRE,JK Tyre & Indust,Auto Components Companies,
SHRIPISTON,Shriram Pistons,Auto Components Companies,
BANCOINDIA,Banco Products,Auto Components Companies,
LUMAXTECH,Lumax Auto Tech.,Auto Components Companies,
SANSERA,Sansera Enginee.,Auto Components Companies,
VARROC,Varroc Engineer,Auto Components Companies,
RKFORGE,Ramkrishna Forg.,Auto Components Companies,
ASKAUTOLTD,ASK Automotive,Auto Components Companies,
PRICOLLTD,Pricol Ltd,Auto Components Companies,
SUPRAJIT,Suprajit Engg.,Auto Components Companies,
LGBBROSLTD,L G Balakrishnan,Auto Components Companies,
