symbol,Symbol,Sector,mcap
INDHOTEL,A,INDHOTEL----Indhotel Hotels Co,104401.64
DRREDDY,A,DRREDDY----Drreddy Reddy's Labs,103897.58
UNITDSPR,A,UNITDSPR----Unitdspr Spirits,103840.57
HINDPETRO,A,HINDPETRO----Hindpetro P C L,100359.45
ICICIGI,A,ICICIGI----Icicigi Lombard,99782.57
PERSISTENT,A,PERSISTENT----Persistent Systems,99365.62
BHEL,A,BHEL----Bhel H E L,98368.29
GROWW,A,GROWW----Groww https,97500.04
SWIGGY,A,SWIGGY----Swiggy https,96275.84
POWERINDIA,A,POWERINDIA----Powerindia Energy,96104.53
MARICO,A,MARICO----Marico https,96099.53
SHREECEM,A,SHREECEM----Shreecem Cement,95560.95
RECLTD,A,RECLTD----Recltd Ltd,94309.04
ZYDUSLIFE,A,ZYDUSLIFE----Zyduslife Lifesci.,93046.31
LUPIN,A,LUPIN----Lupin https,92697.6
MANKIND,A,MANKIND----Mankind Pharma,92645.93
WAAREEENER,A,WAAREEENER----Waareeener Energies,91669.06
DABUR,A,DABUR----Dabur India,91469.04
DIXON,A,DIXON----Dixon Technolog.,90777.95
HAVELLS,A,HAVELLS----Havells India,90362.79
ICICIPRULI,A,ICICIPRULI----Icicipruli Pru Life,88379.11
BAJAJHFL,A,BAJAJHFL----Bajajhfl Housing,87980.73
BHARTIHEXA,A,BHARTIHEXA----Bhartihexa Hexacom,87924.3
NAUKRI,A,NAUKRI----Naukri Edg.(India),86974.81
ABCAPITAL,A,ABCAPITAL----Abcapital Birla Cap,85159.33
ASHOKLEY,A,ASHOKLEY----Ashokley Leyland,84953.95
JSWENERGY,A,JSWENERGY----Jswenergy Energy,84671.35
SRF,A,SRF----Srf https,84125.42
POLICYBZR,A,POLICYBZR----Policybzr Fintech.,83665.42
SBICARD,A,SBICARD----Sbicard Cards,83612.81
NTPCGREEN,A,NTPCGREEN----Ntpcgreen Green Ene.,81844.94
PAYTM,A,PAYTM----Paytm https,80930.64
NHPC,A,NHPC----Nhpc Ltd,79194.73
NYKAA,A,NYKAA----Nykaa E-Commerce,77109.4
SUZLON,A,SUZLON----Suzlon Energy,74957.43
IOB,A,IOB----Iob O B,74813
GVT&D,A,GVT&D----Gvt&D Vernova T&D,74392.97
UNOMINDA,A,UNOMINDA----Unominda Minda,74273.6
PRESTIGE,A,PRESTIGE----Prestige Estates,72701.29
LENSKART,A,LENSKART----Lenskart Solut.,72430.85
LTF,A,LTF----Ltf Finance Ltd,72189.79
OFSS,A,OFSS----Ofss Fin.Serv.,71088.49
AUROPHARMA,A,AUROPHARMA----Auropharma Pharma,70620.33
YESBANK,A,YESBANK----Yesbank Bank,70343.91
FORTIS,A,FORTIS----Fortis Health.,69520.5
OIL,A,OIL----Oil India,69146.89
AUBANK,A,AUBANK----Aubank Small Finance,68320.75
ALKEM,A,ALKEM----Alkem Lab,68123.96
BERGEPAINT,A,BERGEPAINT----Bergepaint Paints,67557.98
BHARATFORG,A,BHARATFORG----Bharatforg Forge,67443.55
IDFCFIRSTB,A,IDFCFIRSTB----Idfcfirstb First Bank,67318.21
ATGL,A,ATGL----Atgl Total Gas,66786.21
GICRE,A,GICRE----Gicre Insuranc,66606.66
COROMANDEL,A,COROMANDEL----Coromandel Inter,66502.74
BANKINDIA,A,BANKINDIA----Bankindia of India,66254.5
INDUSINDBK,A,INDUSINDBK----Indusindbk Bank,65948.7
RVNL,A,RVNL----Rvnl Vikas,65469.63
TORNTPOWER,A,TORNTPOWER----Torntpower Power,65101.36
LLOYDSME,A,LLOYDSME----Lloydsme Metals,64671.64
MRF,A,MRF----Mrf https,64641.85
NMDC,A,NMDC----Nmdc https,64637.33
UPL,A,UPL----Upl https,63328.58
GODREJPROP,A,GODREJPROP----Godrejprop Propert.,63010.38
PATANJALI,A,PATANJALI----Patanjali Foods,62969.39
ABBOTINDIA,A,ABBOTINDIA----Abbotindia India,62925.26
JSL,A,JSL----Jsl Stain.,62110.33
SCHAEFFLER,A,SCHAEFFLER----Schaeffler India,62078.68
HDBFS,A,HDBFS----Hdbfs FINANC SER,61242.39
VMM,A,VMM----Vmm Mega Mart,61180.74
PHOENIXLTD,A,PHOENIXLTD----Phoenixltd Mills,60689.1
FEDERALBNK,A,FEDERALBNK----Federalbnk Bank,60333.5
OBEROIRLTY,A,OBEROIRLTY----Oberoirlty Realty,60300.12
COFORGE,A,COFORGE----Coforge https,60172.8
COLPAL,A,COLPAL----Colpal Palmoliv,59286.07
MFSL,A,MFSL----Mfsl Financial,57244.43
FACT,A,FACT----Fact A C T,57145.72
MOTILALOFS,A,MOTILALOFS----Motilalofs Oswal.Fin.,56967.11
JSWINFRA,A,JSWINFRA----Jswinfra Infrast,56679.04
NAM-INDIA,A,NAM-INDIA----Nam-India Life Ind.,56144.47
TIINDIA,A,TIINDIA----Tiindia Investments,55862.17
BDL,A,BDL----Bdl Dynamics,55460.59
SAIL,A,SAIL----Sail A I L,55398.12
IRCTC,A,IRCTC----Irctc R C T C,55224.14
TATACOMM,A,TATACOMM----Tatacomm Comm,54737.09
BIOCON,A,BIOCON----Biocon https,53043.98
KRT,A,KRT----Krt Realty,52854.15
LAURUSLABS,A,LAURUSLABS----Lauruslabs Labs,52800.33
MPHASIS,A,MPHASIS----Mphasis https,52288.41
SUNDARMFIN,A,SUNDARMFIN----Sundarmfin Finance,52266.14
PIIND,A,PIIND----Piind I Industries,52002.13
GLENMARK,A,GLENMARK----Glenmark Pharma.,51943.9
KALYANKJIL,A,KALYANKJIL----Kalyankjil Jewellers,51266.16
LINDEINDIA,A,LINDEINDIA----Lindeindia India,50905.58
MCX,A,MCX----Mcx Comm. Exc.,49381.97
APLAPOLLO,A,APLAPOLLO----Aplapollo Apollo Tubes,47968.56
M&MFIN,A,M&MFIN----M&Mfin & M Fin. Serv.,47613.46
VOLTAS,A,VOLTAS----Voltas https,46199.62
360ONE,A,360ONE----360One https,46134.27
HUDCO,A,HUDCO----Hudco U D C O,46038
NATIONALUM,A,NATIONALUM----Nationalum Aluminium,46008.54
UBL,A,UBL----Ubl Breweries,45660.12
AIIL,A,AIIL----Aiil Invest,45335.6
LTTS,A,LTTS----Ltts Technology,45250.49
MAHABANK,A,MAHABANK----Mahabank of Maha,45126.49
GODFRYPHLP,A,GODFRYPHLP----Godfryphlp Phillips,45055.24
BALKRISIND,A,BALKRISIND----Balkrisind Inds,44873.09
PREMIERENE,A,PREMIERENE----Premierene Energies,44846.16
COCHINSHIP,A,COCHINSHIP----Cochinship Shipyard,44681.2
SUPREMEIND,A,SUPREMEIND----Supremeind Inds.,44134.52
RADICO,A,RADICO----Radico Khaitan,43799.3
HEXT,A,HEXT----Hext Tech.,43596.29
JKCEMENT,A,JKCEMENT----Jkcement K Cements,43461.8
ITCHOTELS,A,ITCHOTELS----Itchotels Hotels,43458.69
PAGEIND,A,PAGEIND----Pageind Industries,43400.88
GLAXO,A,GLAXO----Glaxo Pharma,42320.15
PGHH,A,PGHH----Pghh & G Hygiene,41780.83
NH,A,NH----Nh Hrudaya,41716.73
PETRONET,A,PETRONET----Petronet LNG,41272.5
EMBASSY,A,EMBASSY----Embassy Off.REIT,41009.52
IREDA,A,IREDA----Ireda Renewable,40565.35
ESCORTS,A,ESCORTS----Escorts Kubota,40446.77
3MINDIA,A,3MINDIA----3Mindia India,40017
KAYNES,A,KAYNES----Kaynes Tech,39461
