Symbol,Type,Sector,Name,Mar Cap
JIOFIN,A,Financial Services,Jiofin Financial,192853.94
HYUNDAI,A,Consumer Discretionary,Hyundai Motor I,189838.02
GRASIM,A,Commodities,Grasim Inds,186176.34
DLF,A,Consumer Discretionary,Dlf https,179643.69
LTIM,A,Information Technology,Ltim https,175772.43
HINDALCO,A,Commodities,Hindalco Inds.,174810.52
ADANIGREEN,A,Utilities,Adanigreen Green,169853.67
DIVISLAB,A,Healthcare,Divislab Lab.,169149.1
HDFCLIFE,A,Financial Services,Hdfclife Life Insur.,164599.47
TVSMOTOR,A,Consumer Discretionary,Tvsmotor Motor Co.,163548.38
BPCL,A,Energy,Bpcl P C L,158181.88
IRFC,A,Financial Services,Irfc R F C,155606.92
SHRIRAMFIN,A,Financial Services,Shriramfin Finance,155026.46
TRENT,A,Consumer Discretionary,Trent https,154962.3
VBL,A,Fast Moving Consumer Goods,Vbl Beverages,151445.04
PIDILITIND,A,Commodities,Pidilitind Inds.,149797.56
BANKBARODA,A,Financial Services,Bankbaroda of Baroda,146944.25
MUTHOOTFIN,A,Financial Services,Muthootfin Finance,145881.22
TECHM,A,Information Technology,Techm Mahindra,143108.6
PNB,A,Financial Services,Pnb Natl.Bank,140650.51
CHOLAFIN,A,Financial Services,Cholafin Inv.&Fn,140196.15
BRITANNIA,A,Fast Moving Consumer Goods,Britannia Inds.,140014.33
AMBUJACEM,A,Commodities,Ambujacem Cements,135344.69
TATACAP,A,Financial Services,Tatacap Capital,134562.14
TMPV,A,Consumer Discretionary,Tmpv Motors PVeh,133410.99
CANBK,A,Financial Services,Canbk Bank,132303.37
BAJAJHLDNG,A,Financial Services,Bajajhldng Holdings,129544.42
TORNTPHARM,A,Healthcare,Torntpharm Pharma.,124884.8
SOLARINDS,A,Commodities,Solarinds Industries,124558.72
TATAPOWER,A,Utilities,Tatapower Power Co.,123691.51
CIPLA,A,Healthcare,Cipla https,122138.82
PFC,A,Financial Services,Pfc Fin.Corpn.,121988.4
GAIL,A,Energy,Gail India),120487.71
CUMMINSIND,A,Industrials,Cumminsind India,120115.09
HEROMOTOCO,A,Consumer Discretionary,Heromotoco Motocorp,120081.97
TMCV,A,Industrials,Tmcv Motors,119473.88
ENRIN,A,Industrials,Enrin Ener.Ind,118694.95
LODHA,A,Consumer Discretionary,Lodha Developers,117371.13
TATACONSUM,A,Fast Moving Consumer Goods,Tataconsum Consumer,117172.81
ADANIENSOL,A,Utilities,Adaniensol Energy Sol,117118.71
BSE,A,Financial Services,Bse https,116251.08
MOTHERSON,A,Consumer Discretionary,Motherson Mothe.,115836.07
HDFCAMC,A,Financial Services,Hdfcamc AMC,115530.84
UNIONBANK,A,Financial Services,Unionbank Bank (I),115251.18
GODREJCP,A,Fast Moving Consumer Goods,Godrejcp Consumer,115069.13
MAXHEALTH,A,Healthcare,Maxhealth Healthcare,114944.86
INDIANB,A,Financial Services,Indianb Bank,114630.46
POLYCAB,A,Industrials,Polycab India,113310.99
SIEMENS,A,Industrials,Siemens https,113072.85
CGPOWER,A,Industrials,Cgpower Power & Ind,111849.53
LGEINDIA,A,Consumer Discretionary,Lgeindia Electronics,111484.88
MAZDOCK,A,Industrials,Mazdock Dock,110765.24
GMRAIRPORT,A,Services,Gmrairport Airports,109866.14
ABB,A,Industrials,Abb B B,108095.91
IDEA,A,Telecommunication,Idea Idea,108018.01
IDBI,A,Financial Services,Idbi Bank,107729.68
BOSCHLTD,A,Consumer Discretionary,Boschltd https,107590.81
INDUSTOWER,A,Telecommunication,Industower Towers,106988.99
APOLLOHOSP,A,Healthcare,Apollohosp Hospitals,106297.02
JINDALSTEL,A,Commodities,Jindalstel Steel,105901.79
INDHOTEL,A,Consumer Discretionary,Indhotel Hotels Co,104401.64
DRREDDY,A,Healthcare,Drreddy Reddy's Labs,103897.58
UNITDSPR,A,Fast Moving Consumer Goods,Unitdspr Spirits,103840.57
HINDPETRO,A,Energy,Hindpetro P C L,100359.45
ICICIGI,A,Financial Services,Icicigi Lombard,99782.57
PERSISTENT,A,Information Technology,Persistent Systems,99365.62
BHEL,A,Industrials,Bhel H E L,98368.29
GROWW,A,Financial Services,Groww https,97500.04
SWIGGY,A,Consumer Discretionary,Swiggy https,96275.84
POWERINDIA,A,Industrials,Powerindia Energy,96104.53
MARICO,A,Fast Moving Consumer Goods,Marico https,96099.53
SHREECEM,A,Commodities,Shreecem Cement,95560.95
RECLTD,A,Financial Services,Recltd Ltd,94309.04
ZYDUSLIFE,A,Healthcare,Zyduslife Lifesci.,93046.31
LUPIN,A,Healthcare,Lupin https,92697.6
MANKIND,A,Healthcare,Mankind Pharma,92645.93
WAAREEENER,A,Industrials,Waareeener Energies,91669.06
DABUR,A,Fast Moving Consumer Goods,Dabur India,91469.04
DIXON,A,Consumer Discretionary,Dixon Technolog.,90777.95
HAVELLS,A,Consumer Discretionary,Havells India,90362.79
ICICIPRULI,A,Financial Services,Icicipruli Pru Life,88379.11
BAJAJHFL,A,Financial Services,Bajajhfl Housing,87980.73
BHARTIHEXA,A,Telecommunication,Bhartihexa Hexacom,87924.3
NAUKRI,A,Consumer Discretionary,Naukri Edg.(India),86974.81
ABCAPITAL,A,Financial Services,Abcapital Birla Cap,85159.33
ASHOKLEY,A,Industrials,Ashokley Leyland,84953.95
JSWENERGY,A,Utilities,Jswenergy Energy,84671.35
SRF,A,Commodities,Srf https,84125.42
POLICYBZR,A,Financial Services,Policybzr Fintech.,83665.42
SBICARD,A,Financial Services,Sbicard Cards,83612.81
NTPCGREEN,A,Utilities,Ntpcgreen Green Ene.,81844.94
PAYTM,A,Financial Services,Paytm https,80930.64
NHPC,A,Utilities,Nhpc Ltd,79194.73
NYKAA,A,Consumer Discretionary,Nykaa E-Commerce,77109.4
SUZLON,A,Industrials,Suzlon Energy,74957.43
IOB,A,Financial Services,Iob O B,74813
GVT&D,A,Industrials,Gvt&D Vernova T&D,74392.97
UNOMINDA,A,Consumer Discretionary,Unominda Minda,74273.6
PRESTIGE,A,Consumer Discretionary,Prestige Estates,72701.29
LENSKART,A,Consumer Discretionary,Lenskart Solut.,72430.85
LTF,A,Financial Services,Ltf Finance Ltd,72189.79
OFSS,A,Information Technology,Ofss Fin.Serv.,71088.49
AUROPHARMA,A,Healthcare,Auropharma Pharma,70620.33
YESBANK,A,Financial Services,Yesbank Bank,70343.91
FORTIS,A,Healthcare,Fortis Health.,69520.5
OIL,A,Energy,Oil India,69146.89
AUBANK,A,Financial Services,Aubank Small Finance,68320.75
ALKEM,A,Healthcare,Alkem Lab,68123.96
BERGEPAINT,A,Consumer Discretionary,Bergepaint Paints,67557.98
BHARATFORG,A,Consumer Discretionary,Bharatforg Forge,67443.55
IDFCFIRSTB,A,Financial Services,Idfcfirstb First Bank,67318.21
ATGL,A,Energy,Atgl Total Gas,66786.21
GICRE,A,Financial Services,Gicre Insuranc,66606.66
COROMANDEL,A,Commodities,Coromandel Inter,66502.74
BANKINDIA,A,Financial Services,Bankindia of India,66254.5
INDUSINDBK,A,Financial Services,Indusindbk Bank,65948.7
RVNL,A,Industrials,Rvnl Vikas,65469.63
TORNTPOWER,A,Utilities,Torntpower Power,65101.36
LLOYDSME,A,Commodities,Lloydsme Metals,64671.64
MRF,A,Consumer Discretionary,Mrf https,64641.85
NMDC,A,Commodities,Nmdc https,64637.33
UPL,A,Commodities,Upl https,63328.58
GODREJPROP,A,Consumer Discretionary,Godrejprop Propert.,63010.38
PATANJALI,A,Fast Moving Consumer Goods,Patanjali Foods,62969.39
ABBOTINDIA,A,Healthcare,Abbotindia India,62925.26
JSL,A,Commodities,Jsl Stain.,62110.33
SCHAEFFLER,A,Consumer Discretionary,Schaeffler India,62078.68
HDBFS,A,Financial Services,Hdbfs FINANC SER,61242.39
VMM,A,Consumer Discretionary,Vmm Mega Mart,61180.74
PHOENIXLTD,A,Consumer Discretionary,Phoenixltd Mills,60689.1
FEDERALBNK,A,Financial Services,Federalbnk Bank,60333.5
OBEROIRLTY,A,Consumer Discretionary,Oberoirlty Realty,60300.12
COFORGE,A,Information Technology,Coforge https,60172.8
COLPAL,A,Fast Moving Consumer Goods,Colpal Palmoliv,59286.07
MFSL,A,Financial Services,Mfsl Financial,57244.43
FACT,A,Commodities,Fact A C T,57145.72
MOTILALOFS,A,Financial Services,Motilalofs Oswal.Fin.,56967.11
JSWINFRA,A,Services,Jswinfra Infrast,56679.04
NAM-INDIA,A,,Nam-India Life Ind.,56144.47
TIINDIA,A,,Tiindia Investments,55862.17
BDL,A,,Bdl Dynamics,55460.59
SAIL,A,,Sail A I L,55398.12
IRCTC,A,,Irctc R C T C,55224.14
TATACOMM,A,,Tatacomm Comm,54737.09
BIOCON,A,,Biocon https,53043.98
KRT,A,,Krt Realty,52854.15
LAURUSLABS,A,,Lauruslabs Labs,52800.33
MPHASIS,A,,Mphasis https,52288.41
SUNDARMFIN,A,,Sundarmfin Finance,52266.14
PIIND,A,,Piind I Industries,52002.13
GLENMARK,A,,Glenmark Pharma.,51943.9
KALYANKJIL,A,,Kalyankjil Jewellers,51266.16
LINDEINDIA,A,,Lindeindia India,50905.58
MCX,A,,Mcx Comm. Exc.,49381.97
APLAPOLLO,A,,Aplapollo Apollo Tubes,47968.56
M&MFIN,A,,M&Mfin & M Fin. Serv.,47613.46
VOLTAS,A,,Voltas https,46199.62
360ONE,A,,360One https,46134.27
HUDCO,A,,Hudco U D C O,46038
NATIONALUM,A,,Nationalum Aluminium,46008.54
UBL,A,,Ubl Breweries,45660.12
AIIL,A,,Aiil Invest,45335.6
LTTS,A,,Ltts Technology,45250.49
MAHABANK,A,,Mahabank of Maha,45126.49
GODFRYPHLP,A,,Godfryphlp Phillips,45055.24
BALKRISIND,A,,Balkrisind Inds,44873.09
PREMIERENE,A,,Premierene Energies,44846.16
COCHINSHIP,A,,Cochinship Shipyard,44681.2
SUPREMEIND,A,,Supremeind Inds.,44134.52
RADICO,A,,Radico Khaitan,43799.3
HEXT,A,,Hext Tech.,43596.29
JKCEMENT,A,,Jkcement K Cements,43461.8
ITCHOTELS,A,,Itchotels Hotels,43458.69
PAGEIND,A,,Pageind Industries,43400.88
GLAXO,A,,Glaxo Pharma,42320.15
PGHH,A,,Pghh & G Hygiene,41780.83
NH,A,,Nh Hrudaya,41716.73
PETRONET,A,,Petronet LNG,41272.5
EMBASSY,A,,Embassy Off.REIT,41009.52
IREDA,A,,Ireda Renewable,40565.35
ESCORTS,A,,Escorts Kubota,40446.77
3MINDIA,A,,3Mindia India,40017
KAYNES,A,,Kaynes Tech,39461
KEI,A,,Kei Industries,39052.92
ASTRAL,A,,Astral https,39033.46
CONCOR,A,,Concor Corpn.,38933.91
JUBLFOOD,A,,Jublfood Food.,38838.62
PWL,A,,Pwl https,38675.58
UCOBANK,A,,Ucobank Bank,38496.45
PIRAMALFIN,A,,Piramalfin Finance.,38428.77
POONAWALLA,A,,Poonawalla Fin,38299.54
FLUOROCHEM,A,,Fluorochem Fluoroch,38214.67
ENDURANCE,A,,Endurance Tech.,38107.51
TATAINVEST,A,,Tatainvest Inv.Corpn.,37956.97
DALBHARAT,A,,Dalbharat BharatLtd,37675.3
KPRMILL,A,,Kprmill P R Mill Ltd,37214.84
APARINDS,A,,Aparinds Inds.,36840.35
IPCALAB,A,,Ipcalab Labs.,36666.76
BLUESTARCO,A,,Bluestarco Star,36476.61
ANTHEM,A,,Anthem Bioscienc,35648.58
AWL,A,,Awl Agri Busine.,35624.2
GODREJIND,A,,Godrejind Industrie,35352.56
AIAENG,A,,Aiaeng Engineering,34892.64
CHOLAHLDNG,A,,Cholahldng Financial,34622.61
CENTRALBK,A,,Centralbk Bank,34431.53
ACC,A,,Acc https,34405.04
THERMAX,A,,Thermax https,34387
NLCINDIA,A,,Nlcindia India,34069.24
ASTERDM,A,,Asterdm DM Health.,33708.49
CDSL,A,,Cdsl D S L,33653.18
TATAELXSI,A,,Tataelxsi Elxsi,33086.37
CRISIL,A,,Crisil https,33075.15
MEDANTA,A,,Medanta Health,32986.05
APOLLOTYRE,A,,Apollotyre Tyres,32555.12
GODIGIT,A,,Godigit Digit General,32354.14
GRSE,A,,Grse Reach Sh.,32267.04
MSUMI,A,,Msumi Wiring,32077.81
KPITTECH,A,,Kpittech Technologi.,32066.11
EXIDEIND,A,,Exideind Inds.,31913.13
SJVN,A,,Sjvn https,31835.35
SONACOMS,A,,Sonacoms BLW Precis.,31297.31
DELHIVERY,A,,Delhivery https,31279.64
METROBRAND,A,,Metrobrand Brands,31142.77
AJANTPHARM,A,,Ajantpharm Pharma,31028.06
NAVINFLUOR,A,,Navinfluor Fluo.Intl.,30601.26
NBCC,A,,Nbcc https,30415.19
HINDCOPPER,A,,Hindcopper Copper,30388.35
HONAUT,A,,Honaut Auto,30136.37
LICHSGFIN,A,,Lichsgfin Housing Fin.,30025.24
MRPL,A,,Mrpl R P L,29848.39
GLAND,A,,Gland Pharma,29824.17
TVSHLTD,A,,Tvshltd Holdings,29250.62
AEGISVOPAK,A,,Aegisvopak Vopak Term,28929.84
STARHEALTH,A,,Starhealth Health Insu,28916.64
NIACL,A,,Niacl India Assura,28780.3
ITI,A,,Iti https,28620.54
MINDSPACE,A,,Mindspace Busine,28436.04
IGL,A,,Igl Gas,28197.41
NHIT,A,,Nhit High,27987.5
GUJGASLTD,A,,Gujgasltd Gas,27429.08
TATATECH,A,,Tatatech Technolog.,27206.95
JBCHEPHARM,A,,Jbchepharm B Chemicals &,27157.12
PINELABS,A,,Pinelabs Labs,27106.31
GILLETTE,A,,Gillette India,26968.14
IKS,A,,Iks Knowl,26944.74
AEGISLOG,A,,Aegislog Logistics,26881
KIMS,A,,Kims Institu.,26805.34
ATHERENERG,A,,Atherenerg Energy,26407.13
IRB,A,,Irb Infra.Devl.,26390.32
LALPATHLAB,A,,Lalpathlab Lal Pathlabs,26346.68
NUVAMA,A,,Nuvama Wealth,26304.31
PTCIL,A,,Ptcil Industries,25813.02
EMCURE,A,,Emcure Pharma,25636.1
FSL,A,,Fsl Solu.,25406.91
SYNGENE,A,,Syngene Intl.,25358.96
AMBER,A,,Amber Enterp.,25311.02
ASAHIINDIA,A,,Asahiindia India Glas,25050.68
PPLPHARMA,A,,Pplpharma Pharma,25032.45
ANGELONE,A,,Angelone One,24954.43
HBLENGINE,A,,Hblengine Engineering,24877.64
ZFCVINDIA,A,,Zfcvindia Commercial,24628.99
NXST,A,,Nxst Select,24261.33
AFFLE,A,,Affle i,24185.22
BANDHANBNK,A,,Bandhanbnk Bank,24016.43
KARURVYSYA,A,,Karurvysya Vysya Bank,23914.58
RAMCOCEM,A,,Ramcocem Ramco Cement,23876.14
INOXWIND,A,,Inoxwind Wind,23806.49
ANANDRATHI,A,,Anandrathi Rathi Wea.,23721.02
MANAPPURAM,A,,Manappuram Fin.,23463.02
EIHOTEL,A,,Eihotel https,23422.99
HATSUN,A,,Hatsun Agro,23302.88
PNBHOUSING,A,,Pnbhousing Housing,23111.02
TIMKEN,A,,Timken India,23083.57
DEEPAKNTR,A,,Deepakntr Nitrite,23063.48
SHYAMMETL,A,,Shyammetl Metalics,23005.39
IIFL,A,,Iifl Finance,22951.3
PFIZER,A,,Pfizer https,22923.11
WELCORP,A,,Welcorp Corp,22886.21
CESC,A,,Cesc https,22764.94
SAGILITY,A,,Sagility https,22704.11
ERIS,A,,Eris Lifescience,22668.61
JYOTICNC,A,,Jyoticnc CNC Auto.,22571.74
SUMICHEM,A,,Sumichem Chemi.,22561.28
COHANCE,A,,Cohance Life,22546.62
ASTRAZEN,A,,Astrazen Phar,22524.01
EMAMILTD,A,,Emamiltd https,22448.78
FORCEMOT,A,,Forcemot Motors,22270.47
REDINGTON,A,,Redington https,22238.55
HSCL,A,,Hscl Special,22211.65
ANANTRAJ,A,,Anantraj Raj,21966.91
BRIGADE,A,,Brigade Enterpr.,21958.79
ECLERX,A,,Eclerx Services,21892.29
CREDITACC,A,,Creditacc Gram.,21691.63
KIOCL,A,,Kiocl https,21433.18
WOCKPHARMA,A,,Wockpharma https,21310.82
NEULANDLAB,A,,Neulandlab Labs.,21298.36
ABSLAMC,A,,Abslamc AMC,21212.6
SUNTV,A,,Suntv TV Network,21144.61
PSB,A,,Psb & Sind Bank,21095.32
KPIL,A,,Kpil Proj.,21033.23
BIRET,A,,Biret India,20967.87
AADHARHFC,A,,Aadharhfc Hsg. Fin.,20933.59
URBANCO,A,,Urbanco Company,20710.95
TATACHEM,A,,Tatachem Chemicals,20635.56
BAYERCROP,A,,Bayercrop Crop Sci.,20463.29
SUNDRMFAST,A,,Sundrmfast Fasten.,19993.77
DCMSHRIRAM,A,,Dcmshriram Shriram,19718.3
CHALET,A,,Chalet Hotels,19591.51
CPPLUS,A,,Cpplus Infotech,19572.06
CAMS,A,,Cams Services,19554.5
CUB,A,,Cub Union Bank,19479.85
ABREL,A,,Abrel B Real Estate,19459.47
JSWHL,A,,Jswhl Holdings,19277.37
TENNIND,A,,Tennind Clean,19191.52
RBLBANK,A,,Rblbank Bank,19153.12
BASF,A,,Basf India,19033.61
POLYMED,A,,Polymed Medicure,18997.37
KANSAINER,A,,Kansainer Nerolac,18812.77
NETWEB,A,,Netweb Technol.,18730.95
CASTROLIND,A,,Castrolind India,18694.43
ONESOURCE,A,,Onesource Speci.,18664.26
KEC,A,,Kec International,18614.03
TBOTEK,A,,Tbotek Tek,18590.67
CUBEINVIT,A,,Cubeinvit Highways,18548.16
OLAELEC,A,,Olaelec Electric,18476.97
CHAMBLFERT,A,,Chamblfert Fert.,18387.91
KFINTECH,A,,Kfintech Technolog.,18366.68
CGCL,A,,Cgcl Global,18304.76
FIVESTAR,A,,Fivestar Star Bus.Fi,18221.33
ABDL,A,,Abdl Blenders,18177.14
EIDPARRY,A,,Eidparry Parry,18126.62
SAILIFE,A,,Sailife Life,18099
DEEPAKFERT,A,,Deepakfert Fertilis.,17910.55
INDIGRID,A,,Indigrid Trust,17897.75
BIKAJI,A,,Bikaji Foods,17896.81
DEVYANI,A,,Devyani Intl.,17791.53
TRAVELFOOD,A,,Travelfood Food,17773.45
APLLTD,A,,Aplltd Pharma,17724.13
SCHNEIDER,A,,Schneider Elect.,17712.78
ATUL,A,,Atul https,17584.6
ARE&M,A,,Are&M Raja Ener.,17462.37
SARDAEN,A,,Sardaen Energy,17268.44
CROMPTON,A,,Crompton Gr. Con,17215.06
KAJARIACER,A,,Kajariacer Ceramics,17162.43
TRITURBINE,A,,Triturbine Turbine,17134.12
JSWCEMENT,A,,Jswcement Cement,16960.26
DATAPATTNS,A,,Datapattns Pattern,16942.99
KIRLOSENG,A,,Kirloseng Oil,16922.14
JUBLPHARMA,A,,Jublpharma Pharmo,16849.97
PGEL,A,,Pgel Electroplast,16848.5
GRINDWELL,A,,Grindwell Norton,16836.06
VENTIVE,A,,Ventive Hospital,16823.07
GSPL,A,,Gspl St.Petronet,16819.19
CENTURYPLY,A,,Centuryply Plyboard,16762.21
MAHSCOOTER,A,,Mahscooter Scooters,16734.33
GPIL,A,,Gpil Power,16721.37
VERTIS,A,,Vertis Infra.,16609.82
FIRSTCRY,A,,Firstcry Solut.,16543.09
VINATIORGA,A,,Vinatiorga Organics,16534.1
LMW,A,,Lmw https,16398.2
SOBHA,A,,Sobha https,16340.6
CHOICEIN,A,,Choicein Intl.,16305.09
ZENSARTECH,A,,Zensartech Tech.,16132.14
SYRMA,A,,Syrma SGS Tech.,16122.4
EMMVEE,A,,Emmvee Photovol.,16113.63
RATNAMANI,A,,Ratnamani Metals,16081.32
CRAFTSMAN,A,,Craftsman Auto,16077.64
RPOWER,A,,Rpower Power,16063.33
BEML,A,,Beml Ltd,15848.93
CIEINDIA,A,,Cieindia Automotive,15749.28
CEATLTD,A,,Ceatltd https,15690.39
SIGNATURE,A,,Signature https,15688.74
GESHIP,A,,Geship Shipping Co,15672.22
AGARWALEYE,A,,Agarwaleye Agarwal's Hea,15631.47
ABLBL,A,,Ablbl B Lifestyle,15608.08
ELGIEQUIP,A,,Elgiequip Equipments,15608.01
CARBORUNIV,A,,Carboruniv Uni.,15578
GMDCLTD,A,,Gmdcltd M D C,15539.4
NATCOPHARM,A,,Natcopharm Pharma,15489.42
AKZOINDIA,A,,Akzoindia Nobel,15445.89
NAVA,A,,Nava https,15381.84
DOMS,A,,Doms Industries,15293.01
RRKABEL,A,,Rrkabel R Kabel,15288.35
IRCON,A,,Ircon Intl.,15265.49
CHENNPETRO,A,,Chennpetro P C L,15261.44
INTELLECT,A,,Intellect Design,15197.9
VGUARD,A,,Vguard Guard Industri,15097.49
WHIRLPOOL,A,,Whirlpool India,14980.35
CONCORDBIO,A,,Concordbio Biotech,14950.07
MANYAVAR,A,,Manyavar Fashions,14783.36
JAINREC,A,,Jainrec Resource,14776.66
UTIAMC,A,,Utiamc AMC,14758.13
GABRIEL,A,,Gabriel India,14642.55
CAPLIPOINT,A,,Caplipoint Point Lab,14603.38
JBMA,A,,Jbma Auto,14526.8
TRIDENT,A,,Trident https,14467.39
CARTRADE,A,,Cartrade Tech,14455.03
ACMESOLAR,A,,Acmesolar Solar Hold.,14434.02
SWANCORP,A,,Swancorp Corp,14405.15
AFCONS,A,,Afcons Infrastr.,14372.85
BELRISE,A,,Belrise Industri,14349.29
GALLANTT,A,,Gallantt Ispat L,14332.13
MINDACORP,A,,Mindacorp Corp,14243.03
LTFOODS,A,,Ltfoods T Foods,14218.26
ANURAS,A,,Anuras Rasayan,14216.91
IFCI,A,,Ifci https,14145.23
IGIL,A,,Igil Ge,14052.76
INDIAMART,A,,Indiamart Inter.,14051.57
ZYDUSWELL,A,,Zyduswell Wellness,14043.41
THELEELA,A,,Theleela Palaces Hotels,13988.24
NIVABUPA,A,,Nivabupa Bupa Health,13962.25
AARTIIND,A,,Aartiind Industries,13948.99
ACUTAAS,A,,Acutaas Chemical,13928
FINEORG,A,,Fineorg Organic,13894.85
APTUS,A,,Aptus Value Hou.,13858.44
BLUEDART,A,,Bluedart Dart Expres,13786.49
JPPOWER,A,,Jppower Power Ven.,13720.11
TECHNOE,A,,Technoe Elec.Engg,13607.2
KIRLOSBROS,A,,Kirlosbros Brothers,13527.12
RAINBOW,A,,Rainbow Child.,13505.85
JMFINANCIL,A,,Jmfinancil Financial,13395.54
CEMPRO,A,,Cempro Project,13376.04
CCL,A,,Ccl Products,13332.08
WELSPUNLIV,A,,Welspunliv Living,13307.54
CELLO,A,,Cello World,13229.92
GRANULES,A,,Granules India,13212.03
BLS,A,,Bls Internat.,13210.76
SAMMAANCAP,A,,Sammaancap Capital,13161.01
USHAMART,A,,Ushamart Martin,13154.51
VTL,A,,Vtl Textile,13067.41
PCBL,A,,Pcbl Chemical,13047.28
NUVOCO,A,,Nuvoco Vistas,13014.56
BBTC,A,,Bbtc Burmah,13001.07
PFOCUS,A,,Pfocus Focus,12996.57
AAVAS,A,,Aavas Financiers,12924.37
BATAINDIA,A,,Bataindia India,12854.07
NEWGEN,A,,Newgen Software,12831.48
ZENTEC,A,,Zentec Technologies,12766.34
JWL,A,,Jwl Wagons,12667.03
TEGA,A,,Tega Inds.,12666.43
IEX,A,,Iex Energy Ex,12577.42
GRAVITA,A,,Gravita India,12563.67
PARADEEP,A,,Paradeep Phosph.,12556.85
INDIACEM,A,,Indiacem Cements,12509.02
KSB,A,,Ksb https,12498.39
CYIENT,A,,Cyient https,12451.2
SPLPETRO,A,,Splpetro Petroch.,12385.54
PRIVISCL,A,,Priviscl Speci.,12276.38
INGERRAND,A,,Ingerrand Rand,12273.79
INDGN,A,,Indgn https,12249.51
JKTYRE,A,,Jktyre Tyre & Indust,12236.34
AETHER,A,,Aether Industri.,12225.18
LEMONTREE,A,,Lemontree Tree Hotel,12169.61
HOMEFIRST,A,,Homefirst First Finan,12134.43
NSLNISP,A,,Nslnisp Steel,12062.33
MGL,A,,Mgl Gas,11999.01
RITES,A,,Rites https,11853.65
CANFINHOME,A,,Canfinhome Fin Homes,11785.48
SBFC,A,,Sbfc Finance,11784.74
AVANTIFEED,A,,Avantifeed Feeds,11727.94
CANHLIFE,A,,Canhlife HSBC,11655.52
TSFINV,A,,Tsfinv Investments,11604.92
FINCABLES,A,,Fincables Cables,11593.58
SHRIPISTON,A,,Shripiston Pistons,11590.87
IXIGO,A,,Ixigo Travenues,11589.14
BLACKBUCK,A,,Blackbuck https,11588.39
J&KBANK,A,,J&Kbank & K Bank,11565.77
ELECON,A,,Elecon Engg.Co,11545.26
JUBLINGREA,A,,Jublingrea Ingrev.,11491.24
TITAGARH,A,,Titagarh Rail,11451.85
ACE,A,,Ace Const.Eq.,11432.61
SHAILY,A,,Shaily Engineer.,11407.01
JYOTHYLAB,A,,Jyothylab Labs,11381.81
EUREKAFORB,A,,Eurekaforb Forbes,11369.67
TDPOWERSYS,A,,Tdpowersys Power Systems,11329.92
WAAREERTL,A,,Waareertl Renewab.,11323.73
FINPIPE,A,,Finpipe Inds.,11279.06
SCI,A,,Sci C I,11265.5
RUBICON,A,,Rubicon Research,11184.49
SAFARI,A,,Safari Inds.,11108.47
ALIVUS,A,,Alivus Life,11066.06
GODREJAGRO,A,,Godrejagro Agrovet,11045.39
