Symbol,Type,Sector
ATHERENERG,A,Financial Services-Consumer Discretionary
IRB,A,Financial Services-Industrials
LALPATHLAB,A,Financial Services-Healthcare
NUVAMA,A,Financial Services-Financial Services
PTCIL,A,Oil & Gas-Industrials
EMCURE,A,Financial Services-Healthcare
FSL,A,Financial Services-Services
SYNGENE,A,Financial Services-Healthcare
AMBER,A,Financial Services-Consumer Discretionary
ASAHIINDIA,A,Financial Services-Consumer Discretionary
PPLPHARMA,A,Financial Services-Healthcare
ANGELONE,A,Financial Services-Financial Services
HBLENGINE,A,Oil & Gas-Industrials
ZFCVINDIA,A,Financial Services-Consumer Discretionary
NXST,A,Information Technology-Consumer Discretionary
AFFLE,A,Financial Services-Information Technology
BANDHANBNK,A,Financial Services-Financial Services
KARURVYSYA,A,Financial Services-Financial Services
RAMCOCEM,A,Financial Services-Commodities
INOXWIND,A,Financial Services-Industrials
ANANDRATHI,A,Financial Services-Financial Services
MANAPPURAM,A,Financial Services-Financial Services
EIHOTEL,A,Financial Services-Consumer Discretionary
HATSUN,A,Financial Services-Fast Moving Consumer Goods
PNBHOUSING,A,Financial Services-Financial Services
TIMKEN,A,Financial Services-Industrials
DEEPAKNTR,A,Financial Services-Commodities
SHYAMMETL,A,Financial Services-Industrials
IIFL,A,Financial Services-Financial Services
PFIZER,A,Financial Services-Healthcare
WELCORP,A,Financial Services-Industrials
CESC,A,Financial Services-Utilities
SAGILITY,A,Financial Services-Information Technology
ERIS,A,Financial Services-Healthcare
JYOTICNC,A,Financial Services-Industrials
SUMICHEM,A,Financial Services-Commodities
COHANCE,A,Financial Services-Healthcare
ASTRAZEN,A,Financial Services-Healthcare
EMAMILTD,A,Financial Services-Fast Moving Consumer Goods
FORCEMOT,A,Financial Services-Consumer Discretionary
REDINGTON,A,Financial Services-Services
HSCL,A,Financial Services-Commodities
ANANTRAJ,A,Financial Services-Consumer Discretionary
BRIGADE,A,Financial Services-Consumer Discretionary
ECLERX,A,Financial Services-Services
CREDITACC,A,Financial Services-Financial Services
KIOCL,A,Financial Services-Commodities
WOCKPHARMA,A,Financial Services-Healthcare
NEULANDLAB,A,Financial Services-Healthcare
ABSLAMC,A,Financial Services-Financial Services
SUNTV,A,Financial Services-Consumer Discretionary
PSB,A,Financial Services-Financial Services
KPIL,A,Oil & Gas-Industrials
BIRET,A,Information Technology-Consumer Discretionary
AADHARHFC,A,Financial Services-Financial Services
URBANCO,A,Financial Services-Consumer Discretionary
TATACHEM,A,Financial Services-Commodities
BAYERCROP,A,Financial Services-Commodities
SUNDRMFAST,A,Financial Services-Consumer Discretionary
DCMSHRIRAM,A,Financial Services-Diversified
CHALET,A,Financial Services-Consumer Discretionary
CPPLUS,A,Financial Services-Industrials
CAMS,A,Financial Services-Financial Services
CUB,A,Financial Services-Financial Services
ABREL,A,Financial Services-Commodities
JSWHL,A,Financial Services-Financial Services
TENNIND,A,Financial Services-Consumer Discretionary
RBLBANK,A,Financial Services-Financial Services
BASF,A,Financial Services-Commodities
POLYMED,A,Financial Services-Healthcare
KANSAINER,A,Financial Services-Consumer Discretionary
NETWEB,A,Financial Services-Information Technology
CASTROLIND,A,Oil & Gas-Energy
ONESOURCE,A,Financial Services-Healthcare
KEC,A,Oil & Gas-Industrials
TBOTEK,A,Financial Services-Consumer Discretionary
CUBEINVIT,A,Information Technology-Services
OLAELEC,A,Financial Services-Consumer Discretionary
CHAMBLFERT,A,Financial Services-Commodities
KFINTECH,A,Financial Services-Financial Services
CGCL,A,Financial Services-Financial Services
FIVESTAR,A,Financial Services-Financial Services
ABDL,A,Financial Services-Fast Moving Consumer Goods
EIDPARRY,A,Financial Services-Fast Moving Consumer Goods
SAILIFE,A,Financial Services-Healthcare
DEEPAKFERT,A,Financial Services-Commodities
INDIGRID,A,Information Technology-Utilities
BIKAJI,A,Financial Services-Fast Moving Consumer Goods
DEVYANI,A,Financial Services-Consumer Discretionary
TRAVELFOOD,A,Financial Services-Consumer Discretionary
APLLTD,A,Financial Services-Healthcare
SCHNEIDER,A,Financial Services-Industrials
ATUL,A,Financial Services-Commodities
ARE&M,A,Oil & Gas-Consumer Discretionary
SARDAEN,A,Financial Services-Commodities
CROMPTON,A,Financial Services-Consumer Discretionary
KAJARIACER,A,Financial Services-Consumer Discretionary
TRITURBINE,A,Financial Services-Industrials
JSWCEMENT,A,Financial Services-Commodities
DATAPATTNS,A,Financial Services-Industrials
KIRLOSENG,A,Financial Services-Industrials
JUBLPHARMA,A,Financial Services-Healthcare
PGEL,A,Financial Services-Consumer Discretionary
GRINDWELL,A,Financial Services-Industrials
VENTIVE,A,Financial Services-Consumer Discretionary
GSPL,A,Oil & Gas-Energy
CENTURYPLY,A,Financial Services-Consumer Discretionary
MAHSCOOTER,A,Financial Services-Financial Services
GPIL,A,Financial Services-Industrials
VERTIS,A,Information Technology-Services
FIRSTCRY,A,Financial Services-Consumer Discretionary
VINATIORGA,A,Financial Services-Commodities
LMW,A,Financial Services-Industrials
SOBHA,A,Financial Services-Consumer Discretionary
CHOICEIN,A,Financial Services-Financial Services
ZENSARTECH,A,Financial Services-Information Technology
SYRMA,A,Financial Services-Industrials
EMMVEE,A,Financial Services-Industrials
RATNAMANI,A,Oil & Gas-Industrials
CRAFTSMAN,A,Financial Services-Consumer Discretionary
RPOWER,A,Financial Services-Utilities
BEML,A,"Agricultural, Commercial & Construction Vehicles-"
CIEINDIA,A,Auto Components & Equipments-
CEATLTD,A,Financial Services-Consumer Discretionary
SIGNATURE,A,"Realty-Residential, Commercial Projects"
GESHIP,A,Financial Services-Services
AGARWALEYE,A,Financial Services-Healthcare
ABLBL,A,Financial Services-Consumer Discretionary
ELGIEQUIP,A,Financial Services-Industrials
CARBORUNIV,A,Industrial Products-Abrasives & Bearings
GMDCLTD,A,Minerals & Mining-Industrial Minerals
NATCOPHARM,A,Financial Services-Healthcare
AKZOINDIA,A,Consumer Durables-Paints
NAVA,A,Power-Power
DOMS,A,Household Products-Stationary
RRKABEL,A,Financial Services-Industrials
IRCON,A,Financial Services-Industrials
CHENNPETRO,A,Petroleum Products-Refineries & Marketing
INTELLECT,A,Financial Services-Information Technology
VGUARD,A,Financial Services-Consumer Discretionary
WHIRLPOOL,A,Consumer Durables-Household Appliances
CONCORDBIO,A,Financial Services-Healthcare
MANYAVAR,A,Retailing-Speciality Retail
JAINREC,A,Diversified Metals-Diversified Metals
UTIAMC,A,Financial Services-Financial Services
GABRIEL,A,Auto Components-Auto Components & Equipments
CAPLIPOINT,A,Pharmaceuticals-Pharmaceuticals & Biotechnology
JBMA,A,Auto Components-Auto Components & Equipments
TRIDENT,A,Financial Services-Consumer Discretionary
CARTRADE,A,Financial Services-Consumer Discretionary
ACMESOLAR,A,Financial Services-Utilities
SWANCORP,A,Oil & Gas-Commodities
AFCONS,A,Financial Services-Industrials
BELRISE,A,Financial Services-Consumer Discretionary
GALLANTT,A,Financial Services-Industrials
MINDACORP,A,Financial Services-Consumer Discretionary
LTFOODS,A,Financial Services-Fast Moving Consumer Goods
ANURAS,A,Financial Services-Commodities
IFCI,A,Financial Services-Financial Services
IGIL,A,Financial Services-Services
INDIAMART,A,Financial Services-Consumer Discretionary
ZYDUSWELL,A,Financial Services-Fast Moving Consumer Goods
THELEELA,A,Financial Services-Consumer Discretionary
NIVABUPA,A,Financial Services-Financial Services
AARTIIND,A,Financial Services-Commodities
ACUTAAS,A,Financial Services-Healthcare
FINEORG,A,Financial Services-Commodities
APTUS,A,Financial Services-Financial Services
BLUEDART,A,Financial Services-Services
JPPOWER,A,Financial Services-Utilities
TECHNOE,A,Financial Services-Industrials
KIRLOSBROS,A,Financial Services-Industrials
RAINBOW,A,Financial Services-Healthcare
JMFINANCIL,A,Financial Services-Financial Services
CEMPRO,A,Financial Services-Industrials
CCL,A,Financial Services-Fast Moving Consumer Goods
WELSPUNLIV,A,Financial Services-Consumer Discretionary
CELLO,A,Financial Services-Consumer Discretionary
GRANULES,A,Financial Services-Healthcare
BLS,A,Financial Services-Consumer Discretionary
SAMMAANCAP,A,Financial Services-Financial Services
USHAMART,A,Financial Services-Industrials
VTL,A,Financial Services-Consumer Discretionary
PCBL,A,Financial Services-Commodities
NUVOCO,A,Financial Services-Commodities
BBTC,A,Financial Services-Fast Moving Consumer Goods
PFOCUS,A,Financial Services-Consumer Discretionary
AAVAS,A,Financial Services-Financial Services
BATAINDIA,A,Financial Services-Consumer Discretionary
NEWGEN,A,Financial Services-Information Technology
ZENTEC,A,Financial Services-Industrials
JWL,A,Financial Services-Industrials
TEGA,A,Financial Services-Industrials
IEX,A,Financial Services-Financial Services
GRAVITA,A,Financial Services-Commodities
PARADEEP,A,Financial Services-Commodities
INDIACEM,A,Financial Services-Commodities
KSB,A,Oil & Gas-Industrials
CYIENT,A,Financial Services-Information Technology
SPLPETRO,A,Financial Services-Commodities
PRIVISCL,A,Financial Services-Commodities
INGERRAND,A,Financial Services-Industrials
INDGN,A,Financial Services-Healthcare
JKTYRE,A,Financial Services-Consumer Discretionary
AETHER,A,Financial Services-Commodities
LEMONTREE,A,Financial Services-Consumer Discretionary
HOMEFIRST,A,Financial Services-Financial Services
NSLNISP,A,Financial Services-Commodities
MGL,A,Oil & Gas-Energy
RITES,A,Financial Services-Industrials
CANFINHOME,A,Financial Services-Financial Services
SBFC,A,Financial Services-Financial Services
AVANTIFEED,A,Financial Services-Fast Moving Consumer Goods
CANHLIFE,A,Financial Services-Financial Services
TSFINV,A,Financial Services-Financial Services
FINCABLES,A,Financial Services-Industrials
SHRIPISTON,A,Financial Services-Consumer Discretionary
IXIGO,A,Financial Services-Consumer Discretionary
BLACKBUCK,A,Financial Services-Services
J&KBANK,A,Financial Services-Financial Services
ELECON,A,Financial Services-Industrials
JUBLINGREA,A,Financial Services-Commodities
TITAGARH,A,Financial Services-Industrials
ACE,A,Financial Services-Industrials
SHAILY,A,Financial Services-Industrials
JYOTHYLAB,A,Financial Services-Fast Moving Consumer Goods
EUREKAFORB,A,Financial Services-Consumer Discretionary
TDPOWERSYS,A,Financial Services-Industrials
WAAREERTL,A,Financial Services-Industrials
FINPIPE,A,Financial Services-Industrials
SCI,A,Financial Services-Services
RUBICON,A,Financial Services-Healthcare
SAFARI,A,Financial Services-Consumer Discretionary
ALIVUS,A,Financial Services-Healthcare
GODREJAGRO,A,Financial Services-Fast Moving Consumer Goods
NCC,A,Financial Services-Industrials
ENGINERSIN,A,Oil & Gas-Industrials
RAILTEL,A,Financial Services-Telecommunication
EMBDL,A,Financial Services-Consumer Discretionary
SANOFICONR,A,Financial Services-Healthcare
AZAD,A,Oil & Gas-Industrials
OLECTRA,A,Financial Services-Consumer Discretionary
GRAPHITE,A,Financial Services-Industrials
PVRINOX,A,Financial Services-Consumer Discretionary
BSOFT,A,Financial Services-Information Technology
EDELWEISS,A,Financial Services-Financial Services
GRINFRA,A,Financial Services-Industrials
JINDALSAW,A,Financial Services-Industrials
UJJIVANSFB,A,Financial Services-Financial Services
INOXINDIA,A,Financial Services-Industrials
VIKRAMSOLR,A,Financial Services-Industrials
SANOFI,A,Financial Services-Healthcare
VIJAYA,A,Financial Services-Healthcare
HFCL,A,Financial Services-Telecommunication
HCG,A,Financial Services-Healthcare
RELAXO,A,Financial Services-Consumer Discretionary
METROPOLIS,A,Financial Services-Healthcare
BANCOINDIA,A,Oil & Gas-Consumer Discretionary
TI,A,Financial Services-Fast Moving Consumer Goods
GENUSPOWER,A,Financial Services-Industrials
PRUDENT,A,Financial Services-Financial Services
VARROC,A,Financial Services-Consumer Discretionary
SONATSOFTW,A,Financial Services-Information Technology
SANSERA,A,Financial Services-Consumer Discretionary
SOUTHBANK,A,Financial Services-Financial Services
LATENTVIEW,A,Financial Services-Information Technology
TTML,A,Financial Services-Telecommunication
JKLAKSHMI,A,Financial Services-Commodities
SANDUMA,A,Oil & Gas-Energy
TIMETECHNO,A,Financial Services-Industrials
CLEAN,A,Financial Services-Commodities
HEG,A,Financial Services-Industrials
RKFORGE,A,Financial Services-Consumer Discretionary
PGHL,A,Financial Services-Healthcare
SKFINDIA,A,Financial Services-Industrials
VESUVIUS,A,Financial Services-Industrials
BLUEJET,A,Financial Services-Healthcare
NAZARA,A,Financial Services-Consumer Discretionary
HAPPYFORGE,A,Financial Services-Industrials
INDIASHLTR,A,Financial Services-Financial Services
RHIM,A,Financial Services-Industrials
KRBL,A,Financial Services-Fast Moving Consumer Goods
ASKAUTOLTD,A,Financial Services-Consumer Discretionary
JLHL,A,Financial Services-Healthcare
GRWRHITECH,A,Financial Services-Industrials
ZEEL,A,Financial Services-Consumer Discretionary
THANGAMAYL,A,Financial Services-Consumer Discretionary
IIFLCAPS,A,Financial Services-Financial Services
ABFRL,A,Financial Services-Consumer Discretionary
MMTC,A,Financial Services-Services
HONASA,A,Financial Services-Fast Moving Consumer Goods
MAPMYINDIA,A,Financial Services-Information Technology
ASTRAMICRO,A,Financial Services-Industrials
MEDPLUS,A,Financial Services-Consumer Discretionary
TARIL,A,Financial Services-Industrials
TTKPRESTIG,A,Financial Services-Consumer Discretionary
ORKLAINDIA,A,Financial Services-Fast Moving Consumer Goods
ARVIND,A,Financial Services-Consumer Discretionary
APOLLO,A,Financial Services-Industrials
LUMAXTECH,A,Financial Services-Consumer Discretionary
BALRAMCHIN,A,Financial Services-Fast Moving Consumer Goods
STARCEMENT,A,Financial Services-Commodities
GMRP&UI,A,Financial Services-Utilities
CUPID,A,Financial Services-Fast Moving Consumer Goods
ALKYLAMINE,A,Financial Services-Commodities
TEJASNET,A,Financial Services-Telecommunication
KPIGREEN,A,Financial Services-Utilities
BIRLACORPN,A,Financial Services-Commodities
TCI,A,Financial Services-Services
BBOX,A,Financial Services-Information Technology
NESCO,A,Financial Services-Services
ESABINDIA,A,Financial Services-Industrials
LLOYDSENT,A,Financial Services-Commodities
MARKSANS,A,Financial Services-Healthcare
PGINVIT,A,Information Technology-Utilities
TRANSRAILL,A,Financial Services-Industrials
WABAG,A,Financial Services-Utilities
JSLL,A,Financial Services-Healthcare
BLUESTONE,A,Financial Services-Consumer Discretionary
GPPL,A,Financial Services-Services
WESTLIFE,A,Financial Services-Consumer Discretionary
PNGJL,A,Financial Services-Consumer Discretionary
INOXGREEN,A,Financial Services-Utilities
SHAKTIPUMP,A,Financial Services-Industrials
V2RETAIL,A,Financial Services-Consumer Discretionary
ALOKINDS,A,Financial Services-Consumer Discretionary
RELIGARE,A,Financial Services-Financial Services
WEWORK,A,Financial Services-Services
MAHLIFE,A,Financial Services-Consumer Discretionary
LOTUSDEV,A,Financial Services-Consumer Discretionary
BORORENEW,A,Financial Services-Industrials
STAR,A,Financial Services-Healthcare
SAPPHIRE,A,Financial Services-Consumer Discretionary
VOLTAMP,A,Financial Services-Industrials
THYROCARE,A,Financial Services-Healthcare
RATEGAIN,A,Financial Services-Information Technology
RCF,A,Financial Services-Commodities
SUDARSCHEM,A,Financial Services-Commodities
PGIL,A,Financial Services-Consumer Discretionary
MTARTECH,A,Financial Services-Industrials
CAMPUS,A,Financial Services-Consumer Discretionary
BECTORFOOD,A,Financial Services-Fast Moving Consumer Goods
TRIVENI,A,Financial Services-Fast Moving Consumer Goods
TMB,A,Financial Services-Financial Services
MANORAMA,A,Financial Services-Fast Moving Consumer Goods
PRICOLLTD,A,Financial Services-Consumer Discretionary
