Symbol	Type	Sector	Mcap
507180	Kesar Enterprise	Agricultural Food & other Products Companies	1
AGRITECH	Agri-Tech India	Agricultural Food & other Products Companies	1
538921	Raghuvansh Agro.	Agricultural Food & other Products Companies	1
519299	Prime Industries	Agricultural Food & other Products Companies	1
530533	Terai Tea Co	Agricultural Food & other Products Companies	1
SAIFL	Sameera Agro	Agricultural Food & other Products Companies	1
531153	Diligent Indust.	Agricultural Food & other Products Companies	1
526445	Indrayani Biotec	Agricultural Food & other Products Companies	1
519234	Superior Indus.	Agricultural Food & other Products Companies	1
523672	Flex Foods	Agricultural Food & other Products Companies	1
NIRMAN	Nirman Agri	Agricultural Food & other Products Companies	1
530997	Unique Organics	Agricultural Food & other Products Companies	1
538539	Annvrridhhi Ven	Agricultural Food & other Products Companies	1
524408	Universal Starch	Agricultural Food & other Products Companies	1
508494	Warren Tea	Agricultural Food & other Products Companies	1
DHANLAXMI	Dhanlaxmi Crop	Agricultural Food & other Products Companies	1
544436	Vandan Foods	Agricultural Food & other Products Companies	1
RCDL	Rajgor Castor	Agricultural Food & other Products Companies	1
531832	Nag. Agri Tech.	Agricultural Food & other Products Companies	1
543814	Prospect Consum.	Agricultural Food & other Products Companies	1
VISHWAS	Vishwas Agri	Agricultural Food & other Products Companies	1
530959	Diana Tea Co	Agricultural Food & other Products Companies	1
511169	RKD Agri	Agricultural Food & other Products Companies	1
519359	Poona Dal & Oil	Agricultural Food & other Products Companies	1
NKIND	N K Industries	Agricultural Food & other Products Companies	1
SIMBHALS	Simbhaoli Sugar	Agricultural Food & other Products Companies	1
543540	Pearl Green Club	Agricultural Food & other Products Companies	1
541005	Kanco Tea	Agricultural Food & other Products Companies	1
544539	Solvex Edibles	Agricultural Food & other Products Companies	1
507300	The Ravalgaon	Agricultural Food & other Products Companies	1
526945	Tyroon Tea Co.	Agricultural Food & other Products Companies	1
530291	Paos Industries	Agricultural Food & other Products Companies	1
531246	Prima Industries	Agricultural Food & other Products Companies	1
544000	City Crops Agro	Agricultural Food & other Products Companies	1
SRPL	Shree Ram Prote.	Agricultural Food & other Products Companies	1
530953	Sunil Agro Foods	Agricultural Food & other Products Companies	1
543310	Times Green Ener	Agricultural Food & other Products Companies	1
519463	IB Infotech	Agricultural Food & other Products Companies	1
519574	Hindustan Agrig.	Agricultural Food & other Products Companies	1
VIKASWSP	Vikas Wsp	Agricultural Food & other Products Companies	1
544175	TGIF Agribusines	Agricultural Food & other Products Companies	1
543769	Indong Tea Co	Agricultural Food & other Products Companies	1
544312	Hamps Bio	Agricultural Food & other Products Companies	1
544269	Neopolitan Pizza	Agricultural Food & other Products Companies	1
531156	Alfavision Overs	Agricultural Food & other Products Companies	1
515059	Madhusudan Inds.	Agricultural Food & other Products Companies	1
544368	Swasth Foodtech	Agricultural Food & other Products Companies	1
VIKASPROP	Vikas Proppant	Agricultural Food & other Products Companies	1
513713	White Organic	Agricultural Food & other Products Companies	1
530119	Natraj Proteins	Agricultural Food & other Products Companies	1
539291	Vasudhagama Ent.	Agricultural Food & other Products Companies	1
542938	Octavius Plant.	Agricultural Food & other Products Companies	1
519285	Tarai Foods	Agricultural Food & other Products Companies	1
519606	Integ. Proteins	Agricultural Food & other Products Companies	1
519242	Sarda Proteins	Agricultural Food & other Products Companies	1
526473	Elegant Floricul	Agricultural Food & other Products Companies	1
530295	Sh. Rajiv. Oil	Agricultural Food & other Products Companies	1
SUULD	Suumaya Indust.	Agricultural Food & other Products Companies	1
519064	Khandelwal Extra	Agricultural Food & other Products Companies	1
519262	Prima Agro	Agricultural Food & other Products Companies	1
SHANTI	Shanti Overseas	Agricultural Food & other Products Companies	1
519439	Pion. Agro Extr.	Agricultural Food & other Products Companies	1
