Symbol,Type,Sector,Sectors,Industrys
SOLARINDS,Solarinds Industries,Financial Services-Commodities,Financial Services,Commodities
TATAPOWER,Tatapower Power Co.,Financial Services-Utilities,Financial Services,Utilities
CIPLA,Cipla https,Financial Services-Healthcare,Financial Services,Healthcare
PFC,Pfc Fin.Corpn.,Financial Services-Financial Services,Financial Services,Financial Services
GAIL,Gail India),Oil & Gas-Energy,Oil & Gas,Energy
CUMMINSIND,Cumminsind India,Financial Services-Industrials,Financial Services,Industrials
HEROMOTOCO,Heromotoco Motocorp,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
TMCV,Tmcv Motors,Financial Services-Industrials,Financial Services,Industrials
ENRIN,Enrin Ener.Ind,Financial Services-Industrials,Financial Services,Industrials
LODHA,Lodha Developers,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
TATACONSUM,Tataconsum Consumer,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
ADANIENSOL,Adaniensol Energy Sol,Financial Services-Utilities,Financial Services,Utilities
BSE,Bse https,Financial Services-Financial Services,Financial Services,Financial Services
MOTHERSON,Motherson Mothe.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
HDFCAMC,Hdfcamc AMC,Financial Services-Financial Services,Financial Services,Financial Services
UNIONBANK,Unionbank Bank (I),Financial Services-Financial Services,Financial Services,Financial Services
GODREJCP,Godrejcp Consumer,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
MAXHEALTH,Maxhealth Healthcare,Financial Services-Healthcare,Financial Services,Healthcare
INDIANB,Indianb Bank,Financial Services-Financial Services,Financial Services,Financial Services
POLYCAB,Polycab India,Financial Services-Industrials,Financial Services,Industrials
SIEMENS,Siemens https,Oil & Gas-Industrials,Oil & Gas,Industrials
CGPOWER,Cgpower Power & Ind,Financial Services-Industrials,Financial Services,Industrials
LGEINDIA,Lgeindia Electronics,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
MAZDOCK,Mazdock Dock,Financial Services-Industrials,Financial Services,Industrials
GMRAIRPORT,Gmrairport Airports,Financial Services-Services,Financial Services,Services
ABB,Abb B B,Financial Services-Industrials,Financial Services,Industrials
IDEA,Idea Idea,Financial Services-Telecommunication,Financial Services,Telecommunication
IDBI,Idbi Bank,Financial Services-Financial Services,Financial Services,Financial Services
BOSCHLTD,Boschltd https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
INDUSTOWER,Industower Towers,Financial Services-Telecommunication,Financial Services,Telecommunication
APOLLOHOSP,Apollohosp Hospitals,Financial Services-Healthcare,Financial Services,Healthcare
JINDALSTEL,Jindalstel Steel,Oil & Gas-Commodities,Oil & Gas,Commodities
INDHOTEL,Indhotel Hotels Co,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
DRREDDY,Drreddy Reddy's Labs,Financial Services-Healthcare,Financial Services,Healthcare
UNITDSPR,Unitdspr Spirits,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
HINDPETRO,Hindpetro P C L,Oil & Gas-Energy,Oil & Gas,Energy
ICICIGI,Icicigi Lombard,Financial Services-Financial Services,Financial Services,Financial Services
PERSISTENT,Persistent Systems,Financial Services-Information Technology,Financial Services,Information Technology
BHEL,Bhel H E L,Oil & Gas-Industrials,Oil & Gas,Industrials
GROWW,Groww https,Financial Services-Financial Services,Financial Services,Financial Services
SWIGGY,Swiggy https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
POWERINDIA,Powerindia Energy,Financial Services-Industrials,Financial Services,Industrials
MARICO,Marico https,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
SHREECEM,Shreecem Cement,Financial Services-Commodities,Financial Services,Commodities
RECLTD,Recltd Ltd,Financial Services-Financial Services,Financial Services,Financial Services
ZYDUSLIFE,Zyduslife Lifesci.,Financial Services-Healthcare,Financial Services,Healthcare
LUPIN,Lupin https,Financial Services-Healthcare,Financial Services,Healthcare
MANKIND,Mankind Pharma,Financial Services-Healthcare,Financial Services,Healthcare
WAAREEENER,Waareeener Energies,Financial Services-Industrials,Financial Services,Industrials
DABUR,Dabur India,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
DIXON,Dixon Technolog.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
HAVELLS,Havells India,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ICICIPRULI,Icicipruli Pru Life,Financial Services-Financial Services,Financial Services,Financial Services
BAJAJHFL,Bajajhfl Housing,Financial Services-Financial Services,Financial Services,Financial Services
BHARTIHEXA,Bhartihexa Hexacom,Financial Services-Telecommunication,Financial Services,Telecommunication
NAUKRI,Naukri Edg.(India),Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ABCAPITAL,Abcapital Birla Cap,Financial Services-Financial Services,Financial Services,Financial Services
ASHOKLEY,Ashokley Leyland,Financial Services-Industrials,Financial Services,Industrials
JSWENERGY,Jswenergy Energy,Financial Services-Utilities,Financial Services,Utilities
SRF,Srf https,Financial Services-Commodities,Financial Services,Commodities
POLICYBZR,Policybzr Fintech.,Financial Services-Financial Services,Financial Services,Financial Services
SBICARD,Sbicard Cards,Financial Services-Financial Services,Financial Services,Financial Services
NTPCGREEN,Ntpcgreen Green Ene.,Financial Services-Utilities,Financial Services,Utilities
PAYTM,Paytm https,Financial Services-Financial Services,Financial Services,Financial Services
NHPC,Nhpc Ltd,Financial Services-Utilities,Financial Services,Utilities
NYKAA,Nykaa E-Commerce,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SUZLON,Suzlon Energy,Financial Services-Industrials,Financial Services,Industrials
IOB,Iob O B,Financial Services-Financial Services,Financial Services,Financial Services
GVT&D,Gvt&D Vernova T&D,Financial Services-Industrials,Financial Services,Industrials
UNOMINDA,Unominda Minda,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PRESTIGE,Prestige Estates,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
LENSKART,Lenskart Solut.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
LTF,Ltf Finance Ltd,Financial Services-Financial Services,Financial Services,Financial Services
OFSS,Ofss Fin.Serv.,Financial Services-Information Technology,Financial Services,Information Technology
AUROPHARMA,Auropharma Pharma,Financial Services-Healthcare,Financial Services,Healthcare
YESBANK,Yesbank Bank,Financial Services-Financial Services,Financial Services,Financial Services
FORTIS,Fortis Health.,Financial Services-Healthcare,Financial Services,Healthcare
OIL,Oil India,Oil & Gas-Energy,Oil & Gas,Energy
AUBANK,Aubank Small Finance,Financial Services-Financial Services,Financial Services,Financial Services
ALKEM,Alkem Lab,Financial Services-Healthcare,Financial Services,Healthcare
BERGEPAINT,Bergepaint Paints,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
BHARATFORG,Bharatforg Forge,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
IDFCFIRSTB,Idfcfirstb First Bank,Financial Services-Financial Services,Financial Services,Financial Services
ATGL,Atgl Total Gas,Oil & Gas-Energy,Oil & Gas,Energy
GICRE,Gicre Insuranc,Financial Services-Financial Services,Financial Services,Financial Services
COROMANDEL,Coromandel Inter,Financial Services-Commodities,Financial Services,Commodities
BANKINDIA,Bankindia of India,Financial Services-Financial Services,Financial Services,Financial Services
INDUSINDBK,Indusindbk Bank,Financial Services-Financial Services,Financial Services,Financial Services
RVNL,Rvnl Vikas,Financial Services-Industrials,Financial Services,Industrials
TORNTPOWER,Torntpower Power,Financial Services-Utilities,Financial Services,Utilities
LLOYDSME,Lloydsme Metals,Financial Services-Commodities,Financial Services,Commodities
MRF,Mrf https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
NMDC,Nmdc https,Financial Services-Commodities,Financial Services,Commodities
UPL,Upl https,Financial Services-Commodities,Financial Services,Commodities
GODREJPROP,Godrejprop Propert.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PATANJALI,Patanjali Foods,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
ABBOTINDIA,Abbotindia India,Financial Services-Healthcare,Financial Services,Healthcare
JSL,Jsl Stain.,Financial Services-Commodities,Financial Services,Commodities
SCHAEFFLER,Schaeffler India,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
HDBFS,Hdbfs FINANC SER,Financial Services-Financial Services,Financial Services,Financial Services
VMM,Vmm Mega Mart,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PHOENIXLTD,Phoenixltd Mills,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
FEDERALBNK,Federalbnk Bank,Financial Services-Financial Services,Financial Services,Financial Services
OBEROIRLTY,Oberoirlty Realty,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
COFORGE,Coforge https,Financial Services-Information Technology,Financial Services,Information Technology
COLPAL,Colpal Palmoliv,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
MFSL,Mfsl Financial,Financial Services-Financial Services,Financial Services,Financial Services
FACT,Fact A C T,Financial Services-Commodities,Financial Services,Commodities
MOTILALOFS,Motilalofs Oswal.Fin.,Financial Services-Financial Services,Financial Services,Financial Services
JSWINFRA,Jswinfra Infrast,Financial Services-Services,Financial Services,Services
NAM-INDIA,Nam-India Life Ind.,Financial Services-Financial Services,Financial Services,Financial Services
TIINDIA,Tiindia Investments,Oil & Gas-Consumer Discretionary,Oil & Gas,Consumer Discretionary
BDL,Bdl Dynamics,Financial Services-Industrials,Financial Services,Industrials
SAIL,Sail A I L,Financial Services-Commodities,Financial Services,Commodities
IRCTC,Irctc R C T C,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
TATACOMM,Tatacomm Comm,Financial Services-Telecommunication,Financial Services,Telecommunication
BIOCON,Biocon https,Financial Services-Healthcare,Financial Services,Healthcare
KRT,Krt Realty,Information Technology-Consumer Discretionary,Information Technology,Consumer Discretionary
LAURUSLABS,Lauruslabs Labs,Financial Services-Healthcare,Financial Services,Healthcare
MPHASIS,Mphasis https,Financial Services-Information Technology,Financial Services,Information Technology
SUNDARMFIN,Sundarmfin Finance,Financial Services-Financial Services,Financial Services,Financial Services
PIIND,Piind I Industries,Financial Services-Commodities,Financial Services,Commodities
GLENMARK,Glenmark Pharma.,Financial Services-Healthcare,Financial Services,Healthcare
KALYANKJIL,Kalyankjil Jewellers,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
LINDEINDIA,Lindeindia India,Financial Services-Commodities,Financial Services,Commodities
MCX,Mcx Comm. Exc.,Financial Services-Financial Services,Financial Services,Financial Services
APLAPOLLO,Aplapollo Apollo Tubes,Financial Services-Industrials,Financial Services,Industrials
M&MFIN,M&Mfin & M Fin. Serv.,Financial Services-Financial Services,Financial Services,Financial Services
VOLTAS,Voltas https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
360ONE,360One https,Financial Services-Financial Services,Financial Services,Financial Services
HUDCO,Hudco U D C O,Financial Services-Financial Services,Financial Services,Financial Services
NATIONALUM,Nationalum Aluminium,Financial Services-Commodities,Financial Services,Commodities
UBL,Ubl Breweries,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
AIIL,Aiil Invest,Financial Services-Financial Services,Financial Services,Financial Services
LTTS,Ltts Technology,Financial Services-Information Technology,Financial Services,Information Technology
MAHABANK,Mahabank of Maha,Financial Services-Financial Services,Financial Services,Financial Services
GODFRYPHLP,Godfryphlp Phillips,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
BALKRISIND,Balkrisind Inds,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PREMIERENE,Premierene Energies,Financial Services-Industrials,Financial Services,Industrials
COCHINSHIP,Cochinship Shipyard,Financial Services-Industrials,Financial Services,Industrials
SUPREMEIND,Supremeind Inds.,Plastic Products - Industrial-,,
RADICO,Radico Khaitan,Beverages-Breweries & Distilleries,,
HEXT,Hext Tech.,Financial Services-Information Technology,Financial Services,Information Technology
JKCEMENT,Jkcement K Cements,Financial Services-Commodities,Financial Services,Commodities
ITCHOTELS,Itchotels Hotels,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PAGEIND,Pageind Industries,Textiles & Apparels-,,
GLAXO,Glaxo Pharma,˜Pharmaceuticals-,,
PGHH,Pghh & G Hygiene,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
NH,Nh Hrudaya,Financial Services-Healthcare,Financial Services,Healthcare
PETRONET,Petronet LNG,Energy-,,
EMBASSY,Embassy Off.REIT,Information Technology-Consumer Discretionary,Information Technology,Consumer Discretionary
IREDA,Ireda Renewable,Financial Services-,,
ESCORTS,Escorts Kubota,"Agricultural, Commercial & Construction Vehicles-",,
3MINDIA,3Mindia India,Financial Services-Diversified,Financial Services,Diversified
KAYNES,Kaynes Tech,Industrial Products-,,
KEI,Kei Industries,Financial Services-Industrials,Financial Services,Industrials
ASTRAL,Astral https,Financial Services-Industrials,Financial Services,Industrials
CONCOR,Concor Corpn.,Financial Services-Services,Financial Services,Services
JUBLFOOD,Jublfood Food.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PWL,Pwl https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
UCOBANK,Ucobank Bank,Financial Services-,,
PIRAMALFIN,Piramalfin Finance.,Financial Services-,,
POONAWALLA,Poonawalla Fin,Financial Services-Financial Services,Financial Services,Financial Services
FLUOROCHEM,Fluorochem Fluoroch,˜Pharmaceuticals-,,
ENDURANCE,Endurance Tech.,Auto Components & Equipments-,,
TATAINVEST,Tatainvest Inv.Corpn.,Financial Services-Financial Services,Financial Services,Financial Services
DALBHARAT,Dalbharat BharatLtd,Cement & Cement Products-,,
KPRMILL,Kprmill P R Mill Ltd,Textiles & Apparels-,,
APARINDS,Aparinds Inds.,Financial Services-Industrials,Financial Services,Industrials
IPCALAB,Ipcalab Labs.,Financial Services-Healthcare,Financial Services,Healthcare
BLUESTARCO,Bluestarco Star,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ANTHEM,Anthem Bioscienc,Financial Services-Healthcare,Financial Services,Healthcare
AWL,Awl Agri Busine.,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
GODREJIND,Godrejind Industrie,Financial Services-Diversified,Financial Services,Diversified
AIAENG,Aiaeng Engineering,Financial Services-Industrials,Financial Services,Industrials
CHOLAHLDNG,Cholahldng Financial,Financial Services-Financial Services,Financial Services,Financial Services
CENTRALBK,Centralbk Bank,Financial Services-Financial Services,Financial Services,Financial Services
ACC,Acc https,Financial Services-Commodities,Financial Services,Commodities
THERMAX,Thermax https,Financial Services-Industrials,Financial Services,Industrials
NLCINDIA,Nlcindia India,Financial Services-Utilities,Financial Services,Utilities
ASTERDM,Asterdm DM Health.,Financial Services-Healthcare,Financial Services,Healthcare
CDSL,Cdsl D S L,Financial Services-Financial Services,Financial Services,Financial Services
TATAELXSI,Tataelxsi Elxsi,Financial Services-Information Technology,Financial Services,Information Technology
CRISIL,Crisil https,Financial Services-Financial Services,Financial Services,Financial Services
MEDANTA,Medanta Health,Financial Services-Healthcare,Financial Services,Healthcare
APOLLOTYRE,Apollotyre Tyres,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GODIGIT,Godigit Digit General,Financial Services-Financial Services,Financial Services,Financial Services
GRSE,Grse Reach Sh.,Financial Services-Industrials,Financial Services,Industrials
MSUMI,Msumi Wiring,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
KPITTECH,Kpittech Technologi.,Financial Services-Information Technology,Financial Services,Information Technology
EXIDEIND,Exideind Inds.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SJVN,Sjvn https,Financial Services-Utilities,Financial Services,Utilities
SONACOMS,Sonacoms BLW Precis.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
DELHIVERY,Delhivery https,Financial Services-Services,Financial Services,Services
METROBRAND,Metrobrand Brands,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
AJANTPHARM,Ajantpharm Pharma,Financial Services-Healthcare,Financial Services,Healthcare
NAVINFLUOR,Navinfluor Fluo.Intl.,Financial Services-Commodities,Financial Services,Commodities
NBCC,Nbcc https,Financial Services-Industrials,Financial Services,Industrials
HINDCOPPER,Hindcopper Copper,Financial Services-Commodities,Financial Services,Commodities
HONAUT,Honaut Auto,Financial Services-Industrials,Financial Services,Industrials
LICHSGFIN,Lichsgfin Housing Fin.,Financial Services-Financial Services,Financial Services,Financial Services
MRPL,Mrpl R P L,Oil & Gas-Energy,Oil & Gas,Energy
GLAND,Gland Pharma,Financial Services-Healthcare,Financial Services,Healthcare
TVSHLTD,Tvshltd Holdings,Financial Services-Financial Services,Financial Services,Financial Services
AEGISVOPAK,Aegisvopak Vopak Term,Oil & Gas-Energy,Oil & Gas,Energy
STARHEALTH,Starhealth Health Insu,Financial Services-Financial Services,Financial Services,Financial Services
NIACL,Niacl India Assura,Financial Services-Financial Services,Financial Services,Financial Services
ITI,Iti https,Financial Services-Telecommunication,Financial Services,Telecommunication
MINDSPACE,Mindspace Busine,Information Technology-Consumer Discretionary,Information Technology,Consumer Discretionary
IGL,Igl Gas,Oil & Gas-Energy,Oil & Gas,Energy
NHIT,Nhit High,Information Technology-Services,Information Technology,Services
GUJGASLTD,Gujgasltd Gas,Oil & Gas-Energy,Oil & Gas,Energy
TATATECH,Tatatech Technolog.,Financial Services-Information Technology,Financial Services,Information Technology
JBCHEPHARM,Jbchepharm B Chemicals &,Financial Services-Healthcare,Financial Services,Healthcare
PINELABS,Pinelabs Labs,Financial Services-Financial Services,Financial Services,Financial Services
GILLETTE,Gillette India,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
IKS,Iks Knowl,Financial Services-Information Technology,Financial Services,Information Technology
AEGISLOG,Aegislog Logistics,Oil & Gas-Energy,Oil & Gas,Energy
KIMS,Kims Institu.,Financial Services-Healthcare,Financial Services,Healthcare
ATHERENERG,Atherenerg Energy,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
IRB,Irb Infra.Devl.,Financial Services-Industrials,Financial Services,Industrials
LALPATHLAB,Lalpathlab Lal Pathlabs,Financial Services-Healthcare,Financial Services,Healthcare
NUVAMA,Nuvama Wealth,Financial Services-Financial Services,Financial Services,Financial Services
PTCIL,Ptcil Industries,Oil & Gas-Industrials,Oil & Gas,Industrials
EMCURE,Emcure Pharma,Financial Services-Healthcare,Financial Services,Healthcare
FSL,Fsl Solu.,Financial Services-Services,Financial Services,Services
SYNGENE,Syngene Intl.,Financial Services-Healthcare,Financial Services,Healthcare
AMBER,Amber Enterp.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ASAHIINDIA,Asahiindia India Glas,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PPLPHARMA,Pplpharma Pharma,Financial Services-Healthcare,Financial Services,Healthcare
ANGELONE,Angelone One,Financial Services-Financial Services,Financial Services,Financial Services
HBLENGINE,Hblengine Engineering,Oil & Gas-Industrials,Oil & Gas,Industrials
ZFCVINDIA,Zfcvindia Commercial,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
NXST,Nxst Select,Information Technology-Consumer Discretionary,Information Technology,Consumer Discretionary
AFFLE,Affle i,Financial Services-Information Technology,Financial Services,Information Technology
BANDHANBNK,Bandhanbnk Bank,Financial Services-Financial Services,Financial Services,Financial Services
KARURVYSYA,Karurvysya Vysya Bank,Financial Services-Financial Services,Financial Services,Financial Services
RAMCOCEM,Ramcocem Ramco Cement,Financial Services-Commodities,Financial Services,Commodities
INOXWIND,Inoxwind Wind,Financial Services-Industrials,Financial Services,Industrials
ANANDRATHI,Anandrathi Rathi Wea.,Financial Services-Financial Services,Financial Services,Financial Services
MANAPPURAM,Manappuram Fin.,Financial Services-Financial Services,Financial Services,Financial Services
EIHOTEL,Eihotel https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
HATSUN,Hatsun Agro,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
PNBHOUSING,Pnbhousing Housing,Financial Services-Financial Services,Financial Services,Financial Services
TIMKEN,Timken India,Financial Services-Industrials,Financial Services,Industrials
DEEPAKNTR,Deepakntr Nitrite,Financial Services-Commodities,Financial Services,Commodities
SHYAMMETL,Shyammetl Metalics,Financial Services-Industrials,Financial Services,Industrials
IIFL,Iifl Finance,Financial Services-Financial Services,Financial Services,Financial Services
PFIZER,Pfizer https,Financial Services-Healthcare,Financial Services,Healthcare
WELCORP,Welcorp Corp,Financial Services-Industrials,Financial Services,Industrials
CESC,Cesc https,Financial Services-Utilities,Financial Services,Utilities
SAGILITY,Sagility https,Financial Services-Information Technology,Financial Services,Information Technology
ERIS,Eris Lifescience,Financial Services-Healthcare,Financial Services,Healthcare
JYOTICNC,Jyoticnc CNC Auto.,Financial Services-Industrials,Financial Services,Industrials
SUMICHEM,Sumichem Chemi.,Financial Services-Commodities,Financial Services,Commodities
COHANCE,Cohance Life,Financial Services-Healthcare,Financial Services,Healthcare
ASTRAZEN,Astrazen Phar,Financial Services-Healthcare,Financial Services,Healthcare
EMAMILTD,Emamiltd https,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
FORCEMOT,Forcemot Motors,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
REDINGTON,Redington https,Financial Services-Services,Financial Services,Services
HSCL,Hscl Special,Financial Services-Commodities,Financial Services,Commodities
ANANTRAJ,Anantraj Raj,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
BRIGADE,Brigade Enterpr.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ECLERX,Eclerx Services,Financial Services-Services,Financial Services,Services
CREDITACC,Creditacc Gram.,Financial Services-Financial Services,Financial Services,Financial Services
KIOCL,Kiocl https,Financial Services-Commodities,Financial Services,Commodities
WOCKPHARMA,Wockpharma https,Financial Services-Healthcare,Financial Services,Healthcare
NEULANDLAB,Neulandlab Labs.,Financial Services-Healthcare,Financial Services,Healthcare
